"","1-0","3-0","4-0","5-0","6-0","7-0","8-0","11-0","12-0","13-0","14-0","16-0","17-0","18-0","20-0","1082","1053","1308","1570","1021","2446","1016","1651","1630","2371","1508","2701","1363","2734","2438","2739","2744","2524","2595","2404","2614","2227","2548","2678","2299","3692","2340","2310","2444","2655","2276","2505","2225","2465","2724","2727","2720","2346","2054","2667"
"Tetranor-12-HETE",0.238366909,0.19656876,0.094091537,0.168802628,0.009940246,0.241653367,0.094119884,0.074890166,0.057357547,0.10842749,0.530137013,0.017304102,0.099970634,0.057760381,0.08516231,0.105853311,0.095782878,0.032068606,0.038800593,0.113877491,0.087683471,0.059671624,0.137350626,0.191590098,0.23580521,0.311528376,0.076212511,0.085145609,0.057610507,0.042834144,0.157616612,0.103927738,0.318138839,0.095869142,0.12348889,0.088905233,0.077369119,0.048243985,0.281474253,0.052449023,0.035611129,0.154487943,0.138010672,0.036758775,0.102235208,0.184692338,0.14468674,0.146784847,0.096213352,0.32204221,0.087502604,0.019437685,0.130281927,0.04360409,0.048072467
"9-oxoODE",125.7083714,26.91562416,41.53575529,39.18353584,58.39604698,46.53622791,29.21172406,66.43099344,58.56366735,77.27809649,68.56858506,45.69586556,34.18985386,19.71662872,16.85789508,2.480656538,10.66343762,7.840131408,3.276875693,13.5569237,6.447658408,15.21152757,11.56038247,15.77127385,8.643153062,5.412637445,16.52565182,9.311681266,10.05032918,4.355875814,5.284275352,4.494294865,5.967373796,7.560060373,13.59852508,24.96117036,10.8831027,2.221513582,18.1943692,4.286299061,0.657440314,6.802707582,9.142948669,8.217288143,13.08482966,21.47348586,35.36453418,11.86592455,8.325962607,14.60427362,27.53656094,6.66204032,14.51092207,12.91685291,6.301570103
"13-oxoODE",423.2311045,129.8242541,139.8162807,124.0145378,196.6426547,229.7563052,106.681424,252.7995677,176.5949943,290.9672424,366.0602967,163.0914219,140.2681069,74.50193695,58.08717863,13.84438598,51.29438969,44.63103592,17.80196405,60.7462937,34.11216504,65.76788471,59.5200188,100.672428,34.70312974,30.38948142,75.36744466,60.21173271,55.60983151,24.22114894,29.6572963,26.38013546,26.36951179,38.2077613,62.73299761,107.3419873,48.95744012,10.7192887,95.18923731,27.38417063,2.155073105,41.26041374,49.08381746,37.3398887,68.44669134,90.72027096,149.7482497,65.82172514,44.17026726,78.3364256,94.30003867,40.89490545,69.20516694,80.03155679,33.22323623
"9-HOTrE",1.774830363,0.514823792,0.693646295,0.353646622,0.77094622,1.416178196,0.659845828,0.859003491,0.421042278,0.566916697,1.268366691,0.844509077,0.256648634,0.46975554,0.663373543,0.155104044,0.362476026,0.212343269,0.135960592,0.434811861,0.169799341,0.660973222,0.530276893,0.554775155,0.584212594,0.389082202,0.507201163,0.437160135,0.290067478,0.346051898,0.14115619,0.416660978,0.074773069,0.387155819,0.235396207,0.519942275,0.319702642,0.298190208,0.528132098,0.327012874,0.149322637,0.166411912,0.297640907,0.559785733,1.703406828,0.852123258,1.323526512,0.837478947,0.449997769,0.711136651,0.338581393,0.642177976,0.745894055,0.68079878,0.251399469
"13-HOTrE/13-HOTrE(r)",64.5504733,20.09489799,22.62419308,20.21464686,30.28099414,35.55935724,16.60722408,38.79101116,29.47120137,45.70725646,55.57087181,26.29711924,21.85955788,12.28464015,9.319377519,2.337512441,8.378839917,7.188629154,3.013149135,9.743531922,5.671409171,10.32237708,9.565199179,15.65767861,5.779708991,4.863661103,11.34192708,9.232525397,8.870334484,4.120270069,4.616516993,4.328794366,4.700269442,6.11207919,9.458440222,16.60718055,7.705290424,1.788206169,14.32970714,4.503121577,0.403181798,6.595093472,8.228227268,6.015307783,11.94572427,14.01244343,22.3676695,10.71011409,7.009987886,11.39518435,13.92484024,6.557214776,11.27804178,12.30863364,5.410532531
"9-HODE",998.4983434,332.5768518,298.4559143,265.1917821,320.4062338,397.5634182,228.0969411,565.5604192,404.3169026,565.7707194,518.0735687,365.875493,336.9157737,172.9807942,116.846417,43.3904759,89.56766277,83.68366094,51.33175969,84.36398355,65.4923732,95.09325354,143.1903716,235.9166949,58.85143352,138.4176545,118.5463387,79.08605464,101.2008798,34.1963577,87.9309804,69.50864307,51.21392684,82.62705174,93.76595201,128.0132276,70.63434197,23.86049584,145.0698521,50.63361775,13.70009597,66.13616981,106.2087147,52.56249055,120.5880996,167.8894884,205.2484653,85.74926427,82.75187148,125.5155248,162.8248556,58.31321459,91.75594553,139.3978175,61.36970972
"13-HODE",11.7673618,3.586454604,2.600937248,3.436835494,3.854748985,10.21624227,3.772580303,7.337596008,2.92694176,5.799608186,6.003393227,3.27166041,4.7493962,2.714415709,1.954264742,0.969939535,1.548256365,1.600083234,1.50989242,3.077758822,1.836891528,3.672533553,4.811906298,4.63577877,3.37539719,3.476803706,3.278955973,2.543363554,2.384545862,1.423781419,1.565186759,1.912607628,1.247973135,2.85300466,2.845172807,2.294858283,1.472207705,2.11061716,2.393716958,2.182956109,1.014673895,1.088714271,1.866550953,3.153572709,8.764618297,3.645667808,9.563143076,4.542142673,2.812253774,3.724679223,3.047434528,3.808873268,5.460333651,5.046014771,1.896073564
"9(10)-EpOME",13.59074081,3.263242698,2.221964644,2.532803453,4.276314162,18.33255972,3.096460448,6.235313923,3.334943529,3.424133506,5.557570978,2.862384926,3.263467244,3.736446199,4.168934024,0,1.235801826,0.771849951,1.413802262,2.332420623,1.23771669,3.836614996,5.443150312,3.411469777,3.293846176,2.634452583,3.485312185,5.216183894,0,1.456232677,1.296879044,1.916476669,1.148061333,2.458220523,2.816069108,1.983347177,1.316861686,1.665311174,2.226005742,1.979454479,0.780681078,0.924047548,1.200489295,3.010500315,9.16032211,5.10933461,11.31792227,4.592593177,2.68919323,7.224337149,6.170279868,7.662648485,5.529853979,5.321022109,3.162140135
"12(13)-EpOME",880.5627337,233.8956209,223.1326269,211.5192206,253.6133649,369.3334896,236.5599096,479.9471708,287.5453623,451.8350569,585.7332173,293.7201516,255.2331905,150.0387578,101.7148454,33.47140465,77.369727,66.36629818,34.98189467,71.69271165,50.76713187,95.26500721,121.1799779,177.2695968,50.35921877,131.2287361,95.42204913,67.08362725,83.7731395,26.58295179,68.47836402,54.73099263,35.3851444,68.9058013,89.37419784,114.0271314,56.39959057,19.72260521,115.913729,35.38025134,10.97100533,54.88762939,93.75129641,49.33852028,95.89989983,141.8264216,171.0846439,70.91961686,66.85352819,105.1472218,138.4754212,44.58259842,83.60229998,93.14019088,52.30233577
"9,10-diHOME",2.100818459,2.237462149,1.406117996,1.46749539,2.278214351,2.773876652,2.472966137,4.417258953,1.450359769,1.649567278,1.951835533,2.660721462,3.160542665,1.088645472,0.747520505,0.549302877,0.715542266,3.688033906,0.64583958,0.663684364,1.539126298,1.116557204,12.62786619,1.810736207,0.432379759,1.256334032,0.649799252,1.60426922,0.599767908,0.575281622,0.318985594,0.879943334,0.622173847,0.830359395,2.468374737,0.686447468,0.781819589,0.515634562,0.731473956,0.693262388,0.675903285,0.477208386,0.866207136,0.713091872,1.007847295,0.810956216,2.352496971,1.031967035,0.788344722,0.559276013,0.662534467,0.685091041,1.201209062,2.378874564,0.464603875
