"","s264","s831","s1537","s402","s113","s2557","s1856","s537","s473","s8","s333","s961","s775","s603","s2249","s159","s1478","s375","s522","s2467","s2206","s291","s441","s659","s585","s1964","s620","s1322","s2414","s1080","s250","s84","s2341","s1797","s2222","s532","s118","s907","s90","s1766","s1462","s924","s77","s613","s2666","s518","s1157","s28","s362","s254","s702","s2104","s376","s2518","s510","s877","s1604","s432","s388","s1268","s2393","s948","s302","s2476","s1383","s2229","s1755","s922","s345","s1711","s290","s2448","s2707","s1085","s242","s981","s2509","s179","s2389","s105","s547","s2630","s151"
"IS-d4-9,10-diHOME",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tetranor-12-HETE",0.244587778,0.178389964,3.2259338,0.79254176,1.180106156,3.426090097,0.565324985,0.127457455,1.549093558,2.091269313,1.267089893,1.186849412,2.474233572,0.517464897,0.481512687,0.265371465,0.535425449,1.332393026,0.042918841,1.081713782,1.115986361,1.671944167,0.146563716,1.793376598,1.404737495,0.513206397,1.18106457,3.156828729,5.55934581,0.498275486,0.27895795,2.067154863,0.160495021,0.895720247,2.810557708,0.856789494,0.133476183,3.625705533,2.958998987,1.207000739,0.239723221,0.187707403,0.854300684,0.123690309,0.049187041,0.885566363,1.37134925,0.198990966,0.375827811,4.566528898,0.165620889,0.654045811,1.12851027,0.242967915,2.398465558,1.973666618,0.234504272,0.059480282,0.393061168,0.546247566,0.576242686,0.223085158,0.999898233,1.895126866,0.083384694,0.069655194,0.667270374,0.720978569,0.606948716,2.978479527,0.897848038,1.488747487,0.815265335,0.249130945,0.384853801,1.03535488,0.585884838,0.2884887,14.0770652,0.346348895,1.091807175,4.244083917,1.187433635
"9-oxoODE",98.42704572,297.210751,338.3971217,383.9971399,469.4235726,337.3318327,216.415528,244.3636422,458.1523922,321.0443548,110.9375956,89.79201758,194.7653916,191.1866941,160.1313084,176.3208678,171.7743916,295.7241523,160.8651382,201.7603869,143.1975102,723.1386936,254.5283646,322.8137973,78.6242265,93.9104713,267.3474272,64.71178006,228.0415116,163.8491586,120.5195626,356.0171442,69.06603415,223.1973626,150.8485385,142.3838504,249.5021531,307.3108241,409.8625097,97.59930685,106.6941129,425.1182543,256.6398146,67.26898602,119.9962699,76.0889685,337.3343151,292.9782614,271.67367,260.6365497,379.5103013,103.1006745,838.0728359,73.1961414,321.3274968,279.9984491,121.0788693,101.2484891,325.4933877,110.0422159,117.1831601,71.61033295,476.5238956,362.5540521,112.6094007,80.28500362,341.6115532,409.3523984,230.5910413,468.9677947,63.64242808,86.27585444,87.20463526,369.2702204,252.7921507,221.7073808,105.5402848,101.5861432,185.0805199,394.810789,772.7291099,163.5568774,282.3593045
"13-oxoODE",305.2088302,986.3084376,1168.085704,1506.94888,2054.277359,1272.680886,816.6314055,770.1109735,1549.994899,1096.0388,355.9776729,326.5766982,650.5576681,520.5759522,547.2928919,574.3880355,568.2194186,835.9577673,539.352515,759.0729591,563.1842049,3044.517777,883.1081879,1134.859541,324.2921713,246.6618798,829.6669389,204.1933349,794.1861044,561.553687,416.7664742,1350.673448,271.0462135,677.7834403,546.3084234,505.4949141,843.2203206,1156.789152,1546.186639,331.649878,350.1990076,1492.339565,1138.428367,235.4651477,477.5396415,269.2920834,1416.101562,1161.45386,981.0032546,915.7154866,1140.616312,429.031451,3222.717463,244.3006054,1046.007545,1012.513896,375.5748157,304.9769477,1216.165787,376.1752187,415.4143285,242.4126098,1620.085162,1388.676149,444.0550523,284.5247714,1283.333325,1389.779197,807.0259385,1906.743525,235.8536472,333.1419364,274.4132682,1364.821397,896.9883,770.452782,383.3506205,314.7100663,819.8436116,1412.797846,2715.618279,693.5441775,885.3596845
"9-HOTrE",1.418030041,2.311663483,3.349432646,4.199679017,2.617909509,2.531174219,1.893027916,1.487187725,5.334243565,2.548220018,1.308176737,1.857318069,1.783585682,1.350876425,1.535255635,1.583355862,1.851672546,2.356699454,1.448595134,1.779313975,2.106321157,5.8960843,3.344074248,5.069363307,0.906995882,1.539249763,3.089596764,1.378821951,2.600748098,1.300119035,1.217881881,4.7625764,1.448877102,2.282684893,2.290349295,2.129365416,2.590292512,1.464292895,2.720372576,0.955917306,0.900834622,3.092483116,2.422049289,0.698134102,1.082097386,0.506167781,3.441092458,2.786377849,2.936520377,3.082576709,2.728974188,0.891729368,7.877627112,1.182845852,2.886297696,3.143558087,1.184724278,0.513814951,2.937145183,1.135464018,0.435200301,1.057980897,2.76351333,5.111122074,1.610473701,0.515670254,1.497375446,2.269077925,1.815695764,4.716804858,0.653726461,1.572579648,1.036497267,3.063701699,2.404652264,2.619498999,1.681910912,1.014251633,3.289363306,3.925414818,6.652386832,2.298775031,3.377602214
"13-HOTrE/13-HOTrE(r)",86.88523154,271.0214978,329.2779554,417.0513336,565.2047245,365.4715769,226.7577217,221.0520465,417.8964396,301.2437301,101.2809441,92.07452356,186.2844156,153.3496868,162.0217415,160.2537935,162.7547071,235.9497372,145.3562615,223.2181736,155.62339,835.581856,253.4071565,324.5471646,95.79820572,64.7971516,233.1897969,60.87685261,226.6716769,159.6844486,116.1603203,365.8540366,78.42361874,182.9179062,150.6591526,140.4859428,232.7393133,339.5556303,432.6289799,95.441308,100.2584461,410.0065224,310.5817999,65.35706105,132.0886454,73.61521687,390.1172212,313.8192478,270.9574155,254.1316755,311.6876465,118.2274335,918.6141022,72.79303948,288.6950566,287.6011629,103.7137907,85.94623262,328.6724499,102.9501107,114.654127,68.80629016,438.8347833,366.9738294,125.3121835,77.05671349,339.7553433,376.7179359,223.19181,495.8008812,63.31796688,86.1432432,72.91297659,362.1753601,245.6716084,210.9389209,108.2274031,85.56098335,229.0979075,392.549502,736.3145401,186.3687022,249.5082492
"9-HODE",835.2593522,1981.056003,2075.095578,2565.676865,3588.354068,2874.676037,1674.0846,1951.230998,2786.181732,2819.299414,1034.794977,897.8577739,1432.849067,1220.559767,1311.698872,1644.16092,1366.502362,1617.785608,1150.560967,1483.487393,1116.040579,4675.783901,1482.88885,2409.149708,1239.940922,655.6032941,1735.835914,565.6381728,1606.218607,1169.797671,885.6536479,2038.671418,663.3384284,1711.065126,1069.713807,693.0368331,2090.73559,2318.541173,2939.095111,752.110798,1002.574718,2449.571251,2159.01966,777.7655634,1256.091063,756.9991035,2387.170734,2324.188938,2267.225198,2039.159988,2339.690789,854.926766,4673.079576,605.8538677,2053.210254,1898.361488,740.0390414,940.357077,2278.963802,1052.759941,1045.432665,742.4051144,2798.585749,3063.052113,1025.336023,651.2977198,2045.854546,1685.823721,1576.995924,2515.189343,815.5928866,957.053677,719.545537,2416.116951,2088.651409,1844.473738,1152.360772,902.365962,1711.086636,2450.551304,4298.191196,1530.63315,2048.768736
"13-HODE",11.52855273,55.0644495,48.30243594,61.57152222,91.37448461,88.08210982,50.6917346,51.02749003,80.93147295,73.64316979,36.78014814,30.43242764,42.76003241,30.96066491,33.46663911,41.3457574,45.6457385,56.26314465,33.46619349,52.82266861,46.13845855,111.5202179,37.90456692,72.68277784,31.57800835,32.90037756,50.70179435,15.56569371,44.51975583,40.59544735,25.11725212,62.566722,29.40265141,51.71393155,28.78460961,25.40401161,40.40006234,31.51219637,71.12986138,23.52194455,23.72420299,54.16896208,46.45446727,19.65586081,22.57984401,13.30467698,44.38966296,54.49765181,52.08286828,63.36478851,55.29283643,46.35930658,97.97217452,26.49036705,62.14516265,50.31559238,23.14896391,21.34395642,44.43559322,26.11244918,24.83655021,15.03571319,90.73613303,85.21484302,30.87625481,13.80573051,31.67065696,45.61121102,41.85321088,56.32040217,19.11508054,32.64423735,13.57164685,68.40961986,32.23565886,43.78263107,25.79670084,16.09132218,34.189987,70.94509088,92.86524606,35.26741018,45.44992352
"9(10)-EpOME",5.378815737,20.29245957,28.08894201,16.56389504,36.89601901,24.16080846,50.63470891,8.394320804,68.08628005,66.68266746,42.14148832,22.31080071,35.65418803,20.95689745,34.66363165,42.91920741,43.82124816,52.1275753,34.53510477,48.14627744,53.9478975,109.5044337,38.35481193,94.04794584,25.3986536,36.20746146,44.74663774,17.56923221,34.65372688,46.86382324,24.06692727,78.4402041,36.59359719,57.29469372,31.88247224,34.82373994,18.74736036,46.08677168,65.36077406,22.66117711,25.4739178,45.74914158,18.52632357,7.39231979,12.4153054,6.346293925,24.67640914,28.86807414,27.17659102,32.44580572,36.73421493,26.46572995,33.78460847,17.13210052,38.72571626,23.17525779,12.19234607,9.947319558,18.91335598,18.10542119,13.49612713,8.308209896,64.033547,36.81869251,16.27664041,7.222025515,0,0,0,25.69586358,10.61473269,33.35935368,10.47923722,46.79346396,0,20.93639965,0,6.572823352,23.66982677,25.83246613,56.33918544,0,0
"12(13)-EpOME",1375.460671,3475.83185,3434.543322,4965.491318,6720.526165,4809.34639,3133.437852,3177.283553,5227.628875,5190.035626,1837.021178,1412.568338,2504.89655,2152.223833,2347.499516,3053.47948,2583.912203,2957.911663,2127.855571,2413.432394,2000.391619,8142.088088,2850.394548,4341.42466,2216.846068,987.0240994,2984.131013,895.4272789,2626.064155,2127.117427,1699.144802,3689.092878,1157.993866,3398.026136,1904.819672,1214.58496,3406.570308,3438.149155,5328.551589,1349.669784,1722.683092,4364.012233,3788.084851,1319.89129,2206.846351,1225.909965,4290.698241,4288.346102,4125.160858,3753.172792,4156.918134,1506.853976,8352.985942,1002.588358,3604.81026,3143.853918,1266.613335,1665.623254,4194.772465,1778.934853,1969.323942,1254.970738,5114.581664,5385.570176,1898.337696,1160.227585,3793.015284,3169.370741,2989.980198,4470.458557,1390.209451,1543.78325,1219.846158,4117.781637,3922.286908,3176.823924,2029.47184,1593.235681,2745.372398,4519.339582,8104.681513,2663.99112,3502.427116
"9,10-diHOME",0.381032963,0.789959289,0.492074248,0.650574824,1.421364864,0.503724831,0.246893781,0.637785155,1.06871169,0.996086849,0.664176519,0.426949037,0.444476587,0.478962199,0.414184116,0.989843369,0.948925223,0.530403911,0.429958486,0.324269114,1.806241838,0.774687708,0.657565004,0.912613765,0.624114253,0.376227176,1.148277754,0.976872298,0.384682061,0.501429303,0.52522863,2.223807635,0.394558181,0.559338797,0.335499878,0.579918947,0.651890254,0.590513321,1.250615753,0.346198025,0.622032127,0.797290742,0.871322364,0.359055189,0.289416578,0.45188923,0.591023273,0.996516475,0.702635446,1.139530181,0.68776835,0.494936751,1.167039998,0.255775109,1.472858975,5.919549298,0.442338558,0.474562396,0.811804788,0.296710145,0.186535274,0.285565645,2.359255405,0.399501837,0.322981629,0.25916272,0.843007763,0.753617602,0.373630112,0.654309524,0.435349119,0.91640028,0.31680083,0.819575574,0.614370077,0.54345258,0.266378007,0.399351645,0.442512406,0.748022117,0.553913116,0.505049457,0.345172519
"12,13-diHOME",0.478738431,0.688629966,0.359609751,0.877010248,0.82468168,0.311480287,0.261791044,0.521402465,1.168857591,1.191445404,0.903208805,0.322998114,0.417873895,0.363939679,0.328297196,0.392465389,1.108827977,0.613933902,0.342784715,0.331738028,0.441689815,0.585402196,0.496021922,0.536515181,0.484332365,0.329310996,0.64531119,1.14259703,0.41416002,0.570517284,0.426315656,0.711394308,0.241697941,0.387967045,0.449932355,0.427820802,0.420451737,0.362083309,0.976414292,0.362764983,0.286613978,1.24285122,0.652744687,0.289500731,0.225871777,0.381623947,0.455837148,0.649336408,0.773873423,0.596622212,0.574989273,0.424286382,0.874403137,0.220949898,0.792855591,1.802413359,0.377336301,0.362015042,0.541016898,0.26312411,0.312720686,0.334000088,0.860372724,0.346120961,0.461515564,0.261597868,0.582923,0.664349845,0.270175882,0.564881591,0.270942031,0.505640702,0.248727422,0.524228243,0.510425194,0.64915615,0.359914406,0.249336683,0.423506735,0.522206115,0.57332975,0.322836046,0.31299279
"15-deoxy-delta12,14-PGJ2",0.058248716,0.016072875,0.032392548,0.051742772,0.048711924,0.014604161,0.036721348,0.021317209,0.009589499,0.067791095,0.038451218,0.008554467,0.053643004,0,0.023659377,0.027130054,0.026439026,0.005443337,0.021626758,0.016442342,0.035535619,0.006355151,0.04135306,0.012929712,0.034766343,0.009015811,0.01859269,0.039295393,0.027632256,0.016067402,0.021801665,0.005336903,0.012008248,0.022283559,0.003690579,0.057276725,0.012849502,0.017813199,0.029054697,0.010831389,0.015043526,0.008568907,0.053223825,0.019735495,0.021114445,0.02388807,0.024824155,0.031114352,0.033090978,0.015355037,0.054605777,0.028034569,0.045093723,0.029421193,0.0291451,0.057445455,0.017937063,0.022408507,0.042784031,0.060805056,0,0.009209359,0.021951678,0.026827445,0.028540726,0.028199,0.017843095,0.052398741,0.023950712,0.112165578,0.005345959,0.030995681,0.023911065,0.018934376,0.006778451,0.026157987,0.021320191,0.029900791,0.023797059,0.042758752,0.077410396,0.053038344,0.0542661
